country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,,,1.69,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13.1,13.7,14.1,13.5,13.4,15.9,17.5,17.1,15.2,13.8
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,24.4,26.2,27.7,31.8,,25.4,,,29.8,27.3,25.9,23.7,17.6,15.3,12.3,13.8,11.3,10.2,9.96,9.96,11,9.82,10.2,11.2,10.2,13.6
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43,16.8,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,4.8,6,6.6,5.6,3.4,2.3,4.5,2.8,2.8,2,2.3,4.5,4.73,4.17,3.54,5.3,4.4,5.3,6,7.3,7.06,5.44,6.36,10.1,11.8,18.8,17.1,14.8,12.7,14.1,15,17.3,19.6,15.4,13.5,11.5,10.1,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,,,8.35
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,18.3,17.6,17.8
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,6.11,5.78,7.16,9.96,8.99,8.26,8.08,8.11,7.23,6.17,6.93,9.58,10.7,10.9,9.72,8.47,8.51,8.36,7.68,6.87,6.28,6.74,6.37,5.93,5.39,5.03,4.78,4.38,4.23,5.56,5.21,5.08,5.22,5.66,6.08,6.06,5.71,5.59
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,4.35,5.28,5.15,5.52,4.7,4.69,4.01,4.85,4.78,5.83,5.63,5.24,4.86,4.13,5.3,4.82,4.56,4.87,5.33,5.62,5.72,6.01,5.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,10.9,10,9.25,8,7.3,6.62,6.54,6.05,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,21.2,,20.9,,14.7,,,,,,,12.1,,11,11.6,,12.2,14.8,12.7,13.8,10.8,11.5,9.76,7.65,7.45,,6.87,9.05,10.8,10.2,10.2,7.54,7.88,8.18,14.3,,14.5,14,16.2,13.8,12,12.7,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,2.02,0.96,,,0.92,,2.2,,,,,2.51,,,,3.27,,,4.32,,4.25,3.59,,,5,3.38,,,4.43,,,4.35,4.37
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86,12.4,13.3,9.45,8.98,7.23,8.39,9.06,17,18.9,17.9,17.9,17.6,14.1,8.16,7.52,22.9,24.5,23,19.7,14.7,14.6,12.4,10.6,9.35,9.85,10.3,11,9.57,9.08,8.73,7.41,8.12,10,10.7,11.2,11.6,11.6,12.2,11.3,9.72,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,5.65
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.9,11.3,11.3,11.3,10.1,8.28,7.25,6.99,6.7,8.08,9.65,9.34,9.48,8.96,9.32,8.65,6.59,6.18,6.91,7.68,7.36,8.44,8.25,7.46,6.98,7.91,8.29,7.14,7.54,8.43,8.52,8.48,7.83,7.09
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,11.1,12.5,13.8,12.7,14.3,12.8,,9.07,10,,,10.9,9.39,8.51,8.18,,,,14.3,11.7,11.6,9.97,7.91,9
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,2.65,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,,1.9,,1.8,2.49,3.1,3.13,3.7,,3.96,3.32,3.23,2.05,2.87,2.63,2.45,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,6.69,6.59,5.52,5.99,3.08,3.69,5.23,2.08,,3.93,4.47,5.24,5.48,,4.17,5.45,5.08,5.18,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,29,23.4,24.1,27.3,27.6,28,27.4,27.5,27.6,25.4,20.5
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,,,,21.2,,21.6,,20.9,,15.9,,,23.8,,,17.8,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,6.99,6.67,8.44,11.6,12.8
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,,,9.32
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,19.9,18.1,13.7,12,10.1,8.95,6.88,5.61,6.82,10.3,11.3,12.3,12.9,11.4,9.14,7.57,6.16
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,,,
