country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,,,1.47,3.09,6.24,5.14,1.77,1.15,1.33,1.48,2.3,1.43,1.28,2.02,4.17,2.56,9.82,8.14,18.6,14.3,14.6,16.4,20.2,15.2,19.7,16.1,12.4,17,27.4,24.7,23.9,22,19.8,11,13.7,15.1,8.22,6.27,9.62,11.4,9.44,11.5,17.1
Australia,,,,,28.9,39.8,30.8,21.4,30.5,25.8,33,65.6,81.6,58.4,46.9,34.7,44.5,41.6,65.6,67.9,66.8,78.1,68.1,82.5,110,89.8,99.2,96.3,126,127,116,147,152,65,136,127,85.9,89.9,86.8,88,88,105,114
Austria,3.25,3.49,2.89,28.1,2.81,2.38,2.23,2.12,2.12,2.19,6.63,6.72,6.39,7.52,18.2,15.8,13.9,10.1,13.8,14.2,12.7,13.5,17.3,1.19,15.2,15.2,12.8,15.7,21.6,29.2,40,57.4,60.8,17.7,28.5,32.2,19.8,25.9,27.4,21.9,25.1,31,36.2
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.0684,0.0703,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,77.2,123,109,108,73.1,73.5,77.7,86.9,103,109,114,125,77.6,70.9,78,57.7,,,66.1,61.8,60.3,61.5
Bangladesh,,,,,,,,,,,,,,,,,,,1.4,3.02,5.08,15.9,5.74,4.06,3.05,4.11,1.81,27.2,,,4.75,5.36,11,12.8,20.4,36.1,37.1,,,,,31.8,34.5
Barbados,,,,,,,,,,,,,,,,,,,16,23.9,21.7,31.7,44.5,61,67.6,54.7,59,,,,,,,,,49,98,,,,,68.4,69.9
Belgium,13.6,13.1,12.4,12.3,11.7,7.87,7.95,9.25,12.3,14.7,24.1,30.9,27.7,36,45.4,31.7,33.6,27.2,34.5,34.2,35,42.2,53.7,93.6,70.8,76.7,69.7,49.3,54.4,73.7,74.5,96.7,81.7,32.2,53.6,55.6,43.5,60.2,71.9,71.3,91.1,80.9,88.9
Botswana,,,,,,,,,,,,,,,,,,,5.5,6.23,8.4,6.77,12.2,15.1,19.2,16.9,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,33.3,25,42,49.4,53.2,64.1,98,34.9,80.2,70,47,49.8,41.3,34.4,27.2,42.3,46.4
Bulgaria,,,,,,,,,,,,,,,,,,,0.111,0.498,0.445,0.0554,,0.986,0.759,0.981,0.584,4.43,8.36,10.8,17.2,30.3,48.8,16.3,16.7,14.6,14.4,,,,,,
