country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,2.05,2.77,1.35,1.78,1.75,1.2,1.44,0.928,-0.508,-1.06,-1.9,-2.21,-5.02,-7.69,-8.76,-9.68,-9.74,-7.83,-6.7,-7.44,-12.2,-13.8,-9.63,-6.38,-5.49
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.273,6.71,11.2,8.32,6.72
Algeria,,,,,,,,,,,0.94,0.821,5.81,3.03,0.681,-0.244,1.66,1.09,0.998,2.56,1.68,2.52,1.11,1.78,3.05,3.19,2.83,3.33,2.31,0.55,0.973,1.21,0.847,0.288,-0.435,-0.246,-0.408,-0.835,-0.117,0.0587,0.324,0.336,0.188,0.988,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.409,0.591,0.682,3.49,3.33,4.41,5.96,5.23,7.43,6.61,7.2,7.32,7.09,5.42,5.82,4.83,4.67,5.13,3.49,3.48,2.68,2.95,3.2,2.8,
Argentina,1.03,0.988,1.69,1.11,1.46,1.68,1.54,1.41,1.25,2.75,2.17,2.12,2.24,3.04,2.81,1.72,1.66,1.9,1.15,1.06,1.04,0.132,-0.465,-0.458,-0.745,-1.43,-0.583,-0.872,-0.891,-2.33,-2.69,-1.02,0.575,0.806,1.1,1.65,1.36,1.89,2.6,3.19,3.25,1.63,-0.501,-0.35,-0.0209
Australia,1.53,1.5,2.59,2.18,2.09,1.95,2.51,2.71,2.88,2.87,3.13,3.5,3.28,3.16,2.5,2.57,2.47,2.34,2.03,1.79,1.75,1.75,1.31,1.24,1.69,1.92,1.73,1.99,1.85,1.97,1.58,1.28,1.74,1.71,1.77,1.7,1.89,1.88,2.1,2.13,2.38,2.67,2.69,2.73,2.44
Austria,5.42,5.26,5.51,5.53,5.23,4.49,4.65,4.28,4.3,4.55,4.09,4.08,4.48,4.62,4.42,4.15,4.12,4.39,3.82,4.07,3.46,3.03,2.64,2.43,2.13,2.46,2.15,1.77,2.29,1.9,2.23,2.43,2.38,2.07,2.16,1.99,2.03,2.08,2.08,2.01,1.97,1.79,1.71,1.84,1.93
Bahamas,,,,,,,,,,,,,,,,,,,,,0.687,0.257,1.13,1.07,3.15,5.25,4.98,4.79,3.69,2.58,1.35,1.38,0.162,-0.622,-0.435,-1.01,-1.27,-1.8,-1.81,-1.85,-0.779,-0.617,0.237,0.556,0.536
Bahrain,,,,,,,,,,,,,,,,,,,,,4.57,4.07,4.4,5.03,-0.338,-1.75,-2.31,-3.16,-1.77,-1.3,-0.728,-0.62,-0.38,1.07,-0.822,0.769,0.786,0.819,0.362,0.807,0.819,1.56,0.997,-0.0179,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,0.349,0.444,1.29,0.409,0.938,0.657,0.923,1.38,1.61,1.91,1.91,1.94,1.69,1.54,1.89,2.06,1.64,1.52,1.59,2.11,2.42,2.53,
